@ c:/dmining/dbtofile;

BRANCH_ID BRANCH_CATEGORY BRANCH_TYPE                                                               
--------- --------------- --------------------                                                      
        1 ENG             CS                                                                        
        2 ENG             EC                                                                        
        3 MED             MBBS                                                                      
        4 MED             DENTAL                                                                    


FELLOW_ID F FELLO                                                                                   
--------- - -----                                                                                   
        1 M OPEN                                                                                    
        2 M SC                                                                                      
        3 F OPEN                                                                                    
        4 F SC                                                                                      


DURATION_ID DURATION_YEAR DURAT                                                                     
----------- ------------- -----                                                                     
          1          2004 1RS                                                                       
          2          2004 2RS                                                                       
          3          2004 1RS                                                                       
          4          2004 2RS                                                                       


BRANCH_ID FELLOW_ID DURATION_ID FACT_NO_ADM FACT_AVG_PER                                            
--------- --------- ----------- ----------- ------------                                            
        1         1           1        1000           60                                            
        1         1           2        1100           70                                            
        1         1           3        1200           80                                            
        1         1           4        1300           90                                            
        1         2           1        1400           60                                            
        1         2           2        1500           70                                            
        1         2           3        1600           80                                            
        1         2           4        1700           90                                            
        1         3           1        1800           60                                            
        1         3           2        1900           70                                            
        1         3           3        2000           80                                            
        1         3           4        2100           90                                            
        1         4           1        2200           60                                            
        1         4           2        2300           70                                            
        1         4           3        2400           80                                            
        1         4           4        2500           90                                            
        2         1           1        2600           60                                            
        2         1           2        2700           70                                            
        2         1           3        2800           80                                            
        2         1           4        2900           90                                            
        2         2           1        3000           60                                            

BRANCH_ID FELLOW_ID DURATION_ID FACT_NO_ADM FACT_AVG_PER                                            
--------- --------- ----------- ----------- ------------                                            
        2         2           2        3100           70                                            
        2         2           3        3200           80                                            
        2         2           4        3300           90                                            
        2         3           1        3400           60                                            
        2         3           2        3500           70                                            
        2         3           3        3600           80                                            
        2         3           4        3700           90                                            
        2         4           1        3800           60                                            
        2         4           2        3900           70                                            
        2         4           3        4000           80                                            
        2         4           4        4100           90                                            
        3         1           1        4200           60                                            
        3         1           2        4300           70                                            
        3         1           3        4400           80                                            
        3         1           4        4500           90                                            
        3         2           1        4600           60                                            
        3         2           2        4700           70                                            
        3         2           3        4800           80                                            
        3         2           4        4900           90                                            
        3         3           1        5000           60                                            
        3         3           2        5100           70                                            

BRANCH_ID FELLOW_ID DURATION_ID FACT_NO_ADM FACT_AVG_PER                                            
--------- --------- ----------- ----------- ------------                                            
        3         3           3        5200           80                                            
        3         3           4        5300           90                                            
        3         4           1        5400           60                                            
        3         4           2        5500           70                                            
        3         4           3        5600           80                                            
        3         4           4        5700           90                                            
        4         1           1        5800           60                                            
        4         1           2        5900           70                                            
        4         1           3        6000           80                                            
        4         1           4        6100           90                                            
        4         2           1        6200           60                                            
        4         2           2        6300           70                                            
        4         2           3        6400           80                                            
        4         2           4        6500           90                                            
        4         3           1        6600           60                                            
        4         3           2        6700           70                                            
        4         3           3        6800           80                                            
        4         3           4        6900           90                                            
        4         4           1        7000           60                                            
        4         4           2        7100           70                                            
        4         4           3        7200           80                                            

BRANCH_ID FELLOW_ID DURATION_ID FACT_NO_ADM FACT_AVG_PER                                            
--------- --------- ----------- ----------- ------------                                            
        4         4           4        7300           90                                            

64 rows selected.

SQL> 
