Transaction,Award ID,Order Number,DUNS,Recipient,Recipient City,Recipient State,Recipient CD,Recipient Country,Pop State,Pop CD,Pop Country,Award Amount,Award Date,Award Type,Awarding Agency,Awarding Bureau,Funding Agency,Funding Bureau,CFDA Code,CFDA Title,Fiscal Year,Role
B6CF0A2A-8CC1-142B-87CF-A1E8566A232C,"AG2328PO10A102","N/A",090253597,"1PLUG CORPORATION","Alameda                     ","CA",13,"USA","CA",13,"USA","$11,949.52",08/09/2010,Contracts,"Department of Agriculture","Agricultural Research Service","Department of Agriculture","Agricultural Research Service","","",2010,Prime
7531AAB3-CB1A-37E5-5F7E-6B95D35D685D,"GS02F0128P","V762P80439",074208930,"3 VETS INCORPORATED","Tampa                       ","FL",14,"USA","CA",33,"USA","$103.90",07/22/2008,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
04773BE8-9780-5AFB-BFC9-287EA052020E,"GS00P13CYP0156","N/A",610109675,"4 STAR TECHNOLOGIES, INC.","Virginia Beach              ","VA",02,"USA","DC",00,"USA","$427,946.74",09/30/2013,Contracts,"General Services Administration","Public Buildings Service","General Services Administration","Public Buildings Service","","",2013,Prime
32EAA67C-9332-9232-AF33-0A4A92E2F3FE,"GS00P13CYP0156","N/A",610109675,"4 STAR TECHNOLOGIES, INC.","Virginia Beach              ","VA",02,"USA","DC",00,"USA","$126,375.00",06/30/2014,Contracts,"General Services Administration","Public Buildings Service","General Services Administration","Public Buildings Service","","",2014,Prime
3F910D9C-5AD1-DEF7-B3CC-7F059F8BCF7B,"M0026413P0104","N/A",827623526,"4K SOLUTIONS, LLC","Midland                     ","GA",02,"USA","DC",00,"USA","$18,957.50",03/06/2013,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2013,Prime
0E6FCB59-E5FD-360E-76D3-E7B3818D3843,"W912JA14M0190","N/A",827623526,"4K SOLUTIONS, LLC","Midland                     ","GA",02,"USA","AL",02,"USA","$11,645.38",08/20/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
C12E14E7-055F-8509-7055-6741289CD97E,"GS35F0412U","SAQMMA15F0392",101922008,"5X TECHNOLOGY, LLC","San Diego                   ","CA",52,"USA","CA",52,"USA","$192,688.50",01/08/2015,Contracts,"Department of State","Department of State","Department of State","Department of State","","",2015,Prime
867B5F8D-CDCD-3A5E-4828-B1C6BFE0DC14,"GS35F0412U","GSH0015AAM0003",101922008,"5X TECHNOLOGY, LLC","San Diego                   ","CA",52,"USA","MO",05,"USA","$96,735.04",12/04/2014,Contracts,"General Services Administration","Office of the Chief People Officer","General Services Administration","Office of the Chief Information Officer","","",2015,Prime
818483D6-C636-4E47-841B-B9CFE50B40E7,"GS35F0412U","DTFH7015F00025",101922008,"5X TECHNOLOGY, LLC","San Diego                   ","CA",52,"USA","WA",03,"USA","$20,913.41",04/14/2015,Contracts,"Department of Transportation","Federal Highway Administration","Department of Transportation","Federal Highway Administration","","",2015,Prime
A6A53B43-BB60-430F-BCEE-C3DAB94C5815,"GS35F0412U","SECHQ115F0024",101922008,"5X TECHNOLOGY, LLC","San Diego                   ","CA",52,"USA","DC",00,"USA","$58,457.55",04/02/2015,Contracts,"Securities and Exchange Commission","Securities and Exchange Commission","Securities and Exchange Commission","Securities and Exchange Commission","","",2015,Prime
